area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;007703;009;08;1;2;2;2;2;1;1;2;2;1;2;2;2;2;1;2;2;1;2;2;2;3;3;2;2711;010150007703;01015000770300908;010150007703009081;239,639870970045;201909
1;010150;007903;009;01;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;3;3;3;2713;010150007903;01015000790300901;010150007903009011;107,872800594495;201909
1;010150;007903;009;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150007903;01015000790300902;010150007903009021;107,872800594495;201909
1;010150;007903;009;03;1;2;2;1;1;2;2;2;2;1;2;2;2;1;2;2;1;2;2;2;3;3;2;2;2713;010150007903;01015000790300903;010150007903009031;107,872800594495;201909
1;010150;007903;009;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150007903;01015000790300904;010150007903009041;107,872800594495;201909
1;010150;007903;009;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;010150007903;01015000790300905;010150007903009051;107,872800594495;201909
1;010150;007903;009;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2713;010150007903;01015000790300906;010150007903009061;107,872800594495;201909
1;010150;007903;009;07;1;3;3;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;3;3;3;2713;010150007903;01015000790300907;010150007903009071;107,872800594495;201909
1;010150;008102;012;01;1;3;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;3;3;3;2712;010150008102;01015000810201201;010150008102012011;171,418679542666;201909
1;010150;008102;012;02;1;2;3;2;3;1;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;3;3;3;2712;010150008102;01015000810201202;010150008102012021;171,418679542666;201909
1;010150;008102;012;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;3;3;2712;010150008102;01015000810201203;010150008102012031;171,418679542666;201909
1;010150;008102;012;05;1;3;3;2;3;2;1;1;3;2;2;2;2;1;1;2;2;2;2;2;3;3;3;3;2712;010150008102;01015000810201205;010150008102012051;171,418679542666;201909
1;010150;008102;012;07;1;3;3;3;3;3;3;3;3;1;2;3;3;3;2;3;2;2;2;2;3;3;3;3;2712;010150008102;01015000810201207;010150008102012071;171,418679542666;201909
1;010150;008102;012;08;1;2;2;2;2;2;2;3;2;3;2;2;2;3;2;3;2;2;2;2;3;3;2;3;2712;010150008102;01015000810201208;010150008102012081;171,418679542666;201909
1;010150;008102;012;09;1;2;3;2;2;3;2;3;2;1;1;3;3;3;3;2;2;2;2;2;3;3;3;3;2712;010150008102;01015000810201209;010150008102012091;171,418679542666;201909
1;010150;008201;009;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150008201;01015000820100901;010150008201009011;147,489924049607;201909
1;010150;008201;009;02;1;2;2;2;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;2;3;3;2;3;2713;010150008201;01015000820100902;010150008201009021;147,489924049607;201909
1;010150;008201;009;03;1;3;2;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;3;2;2713;010150008201;01015000820100903;010150008201009031;147,489924049607;201909
1;010150;008201;009;04;1;3;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150008201;01015000820100904;010150008201009041;147,489924049607;201909
1;010150;008201;009;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150008201;01015000820100906;010150008201009061;147,489924049607;201909
1;010150;008201;009;07;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;010150008201;01015000820100907;010150008201009071;147,489924049607;201909
1;010150;008201;009;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;010150008201;01015000820100908;010150008201009081;147,489924049607;201909
1;010150;008702;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;010150008702;01015000870201201;010150008702012011;115,743408000961;201909
